STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,SIZE_CLASS,Employment size class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7,V7 Breakdowns
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,JPN,Japan,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2023,,9.1715,,D,Definition differs,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,JPN,Japan,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2023,,9.6507,,D,Definition differs,,,,,0,Units,,,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,KOR,Korea,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2024,,41.06,,D,Definition differs,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,KOR,Korea,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2024,,84.05,,D,Definition differs,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,KOR,Korea,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2024,,49.81,,D,Definition differs,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2022,,14.51,,D,Definition differs,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,M,"Professional, scientific and technical activities",S_GE10,10 or more,2022,,7.92,,D,Definition differs,,,,,0,Units,,,2,Two,PRO,PRO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,F,Construction,S_GE10,10 or more,2022,,2.89,,D,Definition differs,,,,,0,Units,,,2,Two,CON,CON
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2022,,8.07,,D,Definition differs,,,,,0,Units,,,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2022,,9.46,,D,Definition differs,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,I,Accommodation and food service activities,S_GE10,10 or more,2022,,4.8,,D,Definition differs,,,,,0,Units,,,2,Two,ACC,ACC
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,H,Transportation and storage,S_GE10,10 or more,2022,,10.21,,D,Definition differs,,,,,0,Units,,,2,Two,TRA,TRA
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,H3_B,Businesses which provided any type of training to develop ICT related skills of the persons employed,PT_ENT,Percentage of enterprises,N,Administrative and support service activities,S_GE10,10 or more,2023,,15.1,,D,Definition differs,,,,,0,Units,L_3,within last 3 months,2,Two,ADM,ADM
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2023,,3.7,,D,Definition differs,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2023,,53.8,,D,Definition differs,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,H3_B,Businesses which provided any type of training to develop ICT related skills of the persons employed,PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2023,,21.6,,D,Definition differs,,,,,0,Units,L_3,within last 3 months,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,H3_B,Businesses which provided any type of training to develop ICT related skills of the persons employed,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2023,,16.6,,D,Definition differs,,,,,0,Units,L_3,within last 3 months,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2023,,47,,D,Definition differs,,,,,0,Units,,,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,N,Administrative and support service activities,S_GE10,10 or more,2023,,11.8,,D,Definition differs,,,,,0,Units,,,2,Two,ADM,ADM
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,N,Administrative and support service activities,S_GE10,10 or more,2023,,60.4,,D,Definition differs,,,,,0,Units,,,2,Two,ADM,ADM
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,N,Administrative and support service activities,S_GE10,10 or more,2021,,43.2,,D,Definition differs,,,,,0,Units,,,2,Two,ADM,ADM
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2021,,2.5,,D,Definition differs,,,,,0,Units,,,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,H1_B,Businesses which employ ICT specialists,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2021,,7.2,,D,Definition differs,,,,,0,Units,L_3,within last 3 months,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,CAN,Canada,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2021,,38.5,,D,Definition differs,,,,,0,Units,,,2,Two,RET,RET
